INSTITUIÇÃO;DESCRIÇÃO;ATIVO I;PASSIVO;ATIVO II
BB;POUPANÇA;0;0;0
PIC_PAY;135% CDI;5.000,28;36,22;5.036,50
NU_BANK;120% CDI;1.223,72;10,47;1.234,19
NU_BANK;CDB 122,5% CDI;3.097,14;24,78;3.121,92
TOTAL_NU_BANK;INICIAL - FINAL;4.320,86;35,25;4.356,11
MERC_PAGO;117% CDI;3.312,31;26,36;3.338,67
MERC_PAGO;120% CDI;594,93;5,56;600,49
MERC_PAGO;IMPRESSORA;6,29;0,04;6,33
MERC_PAGO;IMPRESSORA;1,45;0,01;1,46
MERC_PAGO;Fundo_seg 108% CDI;791,79;0,12;791,91
MERC_PAGO;Conta 105% CDI;1.739,51;13,76;1.741,34
TOTAL_MERC_PAGO;INICIAL - FINAL;6.446,28;45,85;6.480,20
INTER;CDB - 125% CDI;8.312,37;60,21;8.372,58
INTER;CDB - 125% CDI;3.422,02;24,79;3.446,81
INTER;CDB - 120% CDI;5.810,91;49,45;5.860,36
INTER;LCI - IPCA + 4,84;5.837,01;26,45;5.863,46
INTER;LCI - IPCA + 5%;6.046,83;26,56;6.073,39
INTER;LCI - IPCA + 5,6%;6.117,99;31,98;6.149,97
INTER;Tes_selic + 0,21%;5.624,22;42,22;5.666,44
INTER;Tes_selic + 0,17%;6.324,93;46,76;6.371,69
TOTAL_INTER;INICIAL - FINAL;47.496,28;308,42;47.804,70
TOTAL_APLICAÇÕES;RENDIMENTO;;425,74;
TOTAL_SALDO_GASTOS;INICIAL - FINAL;66.603,99;-2.926,48;63.677,51
